file_path,Apps,BBB web,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\ApiErrors.java,0.836244147164481,2.5891832624162947,0.3342287608555385,0.3815116337367466,0.18951680319649833,BBB web,2.5891832624162947
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\BigPdfException.java,0.1538937841142927,2.3141732352120536,2.91765877859933,0.020677202088492257,0.10314511571611677,Presentation Conversion,2.91765877859933
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\RequestWithChecksum.java,0.3954960686819894,2.460897391183036,0.21382842745099748,0.06680521283830915,0.07770285606384278,BBB web,2.460897391183036
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\Office2PdfConverterHandler.java,0.12639947618756975,2.361010306222098,2.7007330758231025,0.0,0.09755936350141253,Presentation Conversion,2.7007330758231025
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api2\IMeetingService.java,0.8660769326346262,2.417494855608259,0.11751274381365096,0.16671086720057895,0.36809517996651786,BBB web,2.417494855608259
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,0.2631887708391462,1.3677430289132255,0.028856035641261508,0.16987454550606865,0.12183211190359933,BBB web,1.3677430289132255
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLeftEvent.java,0.32446436200823103,1.3677430289132255,0.028856035641261508,0.16987454550606865,0.12183211190359933,BBB web,1.3677430289132255
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\RequestParameters.java,0.3927394049508231,2.464646475655692,0.21251441410609653,0.07125177383422851,0.08097305297851562,BBB web,2.464646475655692
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\callback\DelayCallback.java,0.41026009150913784,2.702508762904576,0.16246953691755023,0.1439258302961077,0.18158775057111468,BBB web,2.702508762904576
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\IsBooleanValidator.java,0.3734316417149135,2.3611992972237723,0.15186218534197127,0.06715444837297713,0.07795970099312918,BBB web,2.3611992972237723
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\manager\DefaultManagerConnection.java,0.16758342470441545,1.2695016043526786,0.04160755361829485,0.016781391416277203,0.012941471167973109,BBB web,1.2695016043526786
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserJoined.java,0.812903322492327,2.474805123465402,0.15355689185006277,0.1541255269731794,0.328382819039481,BBB web,2.474805123465402
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingNameConstraint.java,0.6679932730538505,2.576822989327567,0.30754179273332866,0.2520369393484933,0.5776452200753348,BBB web,2.576822989327567
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\ThumbnailCreatorImp.java,0.6025727953229632,2.5884852818080355,2.6779800415039063,0.37479885646275113,0.3700850078037807,Presentation Conversion,2.6779800415039063
