file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
audioFlux\src\cwt_algorithm.h,4.450613498687744,7.853409290313721,2.0,1.4005452394485474,feature,7.853409290313721
audioFlux\src\pwt_algorithm.h,4.450613498687744,7.0,2.0,1.4005452394485474,feature,7.0
audioFlux\include\swt_algorithm.h,3.4650204181671143,2.0,0.0,1.4133514165878296,dsp,3.4650204181671143
audioFlux\src\mir\_pitch_yin.c,12.548523902893066,4.126547336578369,0.3013378977775574,84.31434631347656,mir,84.31434631347656
audioFlux\include\mir\_pitch_lhs.h,2.0,3.579252243041992,0.0,84.58277130126953,mir,84.58277130126953
audioFlux\src\filterbank\auditory_filterBank.h,3.0,6.0,141.94239807128906,24.48500633239746,filter_bank,141.94239807128906
audioFlux\src\mir\_pitch_lhs.h,2.0,3.579252243041992,0.0,84.58277130126953,mir,84.58277130126953
audioFlux\src\bft_algorithm.c,21.8433895111084,17.86748695373535,80.02743530273438,12.850274085998535,filter_bank,80.02743530273438
audioFlux\src\mir\_pitch_pef.h,2.0,4.066338539123535,0.0,82.10652160644531,mir,82.10652160644531
audioFlux\src\mir\_pitch_stft.c,8.868724822998047,39.29780578613281,21.510173797607422,97.4643325805664,mir,97.4643325805664
audioFlux\src\filterbank\auditory_weight.h,2.0,1.0,102.5414810180664,1.0,filter_bank,102.5414810180664
audioFlux\include\spectrogram_algorithm.h,8.210054397583008,29.818628311157227,38.6630744934082,37.79399871826172,filter_bank,38.6630744934082
audioFlux\src\synsq_algorithm.c,4.297168254852295,6.0,3.949490547180176,31.72507667541504,mir,31.72507667541504
audioFlux\include\dsp\czt_algorithm.h,83.92628479003906,1.0,0.0,1.4138414859771729,dsp,83.92628479003906
audioFlux\include\cepstrogram_algorithm.h,3.453737258911133,9.054330825805664,0.0,1.4033219814300537,feature,9.054330825805664
audioFlux\src\mir\harmonicRatio_algorithm.c,3.297168254852295,2.0,0.962578296661377,77.73737335205078,mir,77.73737335205078
audioFlux\src\temporal_algorithm.h,3.456904649734497,10.833222389221191,0.0,14.10499382019043,mir,14.10499382019043
audioFlux\include\feature\deconv_algorithm.h,3.464470386505127,128.28028869628906,0.0,3.412862539291382,feature,128.28028869628906
audioFlux\src\wpt_algorithm.h,3.4650204181671143,2.0,0.0,1.4133514165878296,dsp,3.4650204181671143
audioFlux\src\stft_algorithm.c,14.532769203186035,2.800786018371582,0.4203147888183594,35.43762969970703,mir,35.43762969970703
audioFlux\src\classic\nmf.h,2.0,1.5861319303512573,0.7375956773757935,1.9834609031677246,dsp,2.0
