file_path,configs,datasets,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\tests\motors\test_motors_bus.py,5.040050983428955,15.065749168395996,13.152603149414062,16.384552001953125,14.480074882507324,robot_devices,16.384552001953125
lerobot\tests\fixtures\hub.py,8.396427154541016,105.8892822265625,4.645951747894287,20.483732223510742,17.587181091308594,datasets,105.8892822265625
lerobot\src\lerobot\common\__init__.py,0.20893290638923645,0.20893290638923645,0.0,9.00987720489502,0.20893290638923645,robot_devices,9.00987720489502
lerobot\src\lerobot\cameras\opencv\camera_opencv.py,33.71186447143555,17.416980743408203,9.169793128967285,15.021658897399902,13.101949691772461,configs,33.71186447143555
lerobot\examples\so100_to_so100_EE\evaluate.py,26.52630043029785,45.044830322265625,24.633047103881836,100.39900970458984,16.196264266967773,robot_devices,100.39900970458984
lerobot\tests\rewards\test_modeling_classifier.py,22.11660385131836,4.058041095733643,14.21976375579834,33.62118911743164,5.892419815063477,robot_devices,33.62118911743164
lerobot\tests\processor\test_render_messages_processor.py,1.2373402118682861,85.55175018310547,0.0,8.936379432678223,5.006804943084717,datasets,85.55175018310547
lerobot\tests\motors\test_dynamixel.py,1.2680325508117676,8.299134254455566,16.186336517333984,25.90216636657715,11.841379165649414,robot_devices,25.90216636657715
lerobot\src\lerobot\datasets\aggregate.py,12.961864471435547,105.66397094726562,6.540267467498779,84.29177856445312,20.8065185546875,datasets,105.66397094726562
lerobot\examples\port_datasets\slurm_upload.py,19.021392822265625,108.7921371459961,14.892868995666504,23.632089614868164,30.873764038085938,datasets,108.7921371459961
lerobot\tests\jobs\test_job_config.py,21.27981948852539,30.679166793823242,16.929841995239258,8.309013366699219,4.3394880294799805,datasets,30.679166793823242
lerobot\tests\policies\pi0_pi05\openpi_pytorch\pi0_pytorch.py,25.197471618652344,12.164691925048828,70.57146453857422,33.34770965576172,13.399773597717285,policies,70.57146453857422
lerobot\tests\datasets\test_dataset_utils.py,64.97339630126953,96.5301513671875,4.659342288970947,52.06237030029297,13.226449966430664,datasets,96.5301513671875
lerobot\tests\utils\test_train_utils.py,24.414127349853516,10.322161674499512,22.7124080657959,11.943085670471191,13.563241004943848,configs,24.414127349853516
lerobot\src\lerobot\configs\train.py,89.51091003417969,48.26294708251953,35.49248123168945,24.625370025634766,29.691959381103516,configs,89.51091003417969
lerobot\examples\backward_compatibility\replay.py,20.00017547607422,35.65397262573242,4.317798137664795,73.00395965576172,9.958368301391602,robot_devices,73.00395965576172
lerobot\examples\omx\reset_environment.py,7.615788459777832,7.7784013748168945,8.045998573303223,64.7948989868164,13.087666511535645,robot_devices,64.7948989868164
lerobot\examples\lekiwi\rollout.py,24.214519500732422,4.639223575592041,22.716251373291016,56.35626220703125,5.517817497253418,robot_devices,56.35626220703125
lerobot\tests\mocks\mock_motors_bus.py,2.492473602294922,10.186117172241211,12.180802345275879,15.286842346191406,8.164755821228027,robot_devices,15.286842346191406
lerobot\src\lerobot\annotations\steerable_pipeline\modules\plan_subtasks_memory.py,27.309206008911133,24.701208114624023,8.098974227905273,58.566383361816406,26.712709426879883,robot_devices,58.566383361816406
lerobot\src\lerobot\datasets\io_utils.py,10.87619686126709,109.82390594482422,9.252899169921875,10.208467483520508,26.336774826049805,datasets,109.82390594482422
lerobot\src\lerobot\configs\rewards.py,80.23249053955078,19.02875328063965,20.101125717163086,44.85758590698242,21.25835418701172,configs,80.23249053955078
lerobot\tests\jobs\__init__.py,0.20943289995193481,0.20943289995193481,0.0,0.0,0.20943289995193481,configs,0.20943289995193481
lerobot\tests\datasets\test_image_transforms.py,27.189355850219727,80.70679473876953,5.895317554473877,8.559563636779785,18.923986434936523,datasets,80.70679473876953
lerobot\tests\policies\fastwam\test_fastwam_policy.py,31.671506881713867,41.62879180908203,96.05052185058594,80.0157470703125,19.323827743530273,policies,96.05052185058594
lerobot\tests\rl\test_queue.py,4.773517608642578,80.77964782714844,0.0,7.397050857543945,4.409506797790527,datasets,80.77964782714844
lerobot\tests\processor\test_pi05_processor.py,23.828950881958008,36.732505798339844,17.606767654418945,43.39674758911133,7.182662010192871,robot_devices,43.39674758911133
lerobot\examples\tutorial\async-inf\robot_client.py,8.74348258972168,4.293205261230469,17.371809005737305,93.63247680664062,7.450558662414551,robot_devices,93.63247680664062
lerobot\tests\scripts\test_edit_dataset_parsing.py,22.12187957763672,89.77999877929688,0.802916944026947,7.6291351318359375,6.915248394012451,datasets,89.77999877929688
lerobot\tests\policies\eo1\test_eo1.py,26.39790916442871,6.511027812957764,104.9771957397461,40.29254150390625,11.589591026306152,policies,104.9771957397461
lerobot\tests\datasets\test_dataset_reader.py,4.1768598556518555,105.8868408203125,2.134247064590454,30.761581420898438,12.163824081420898,datasets,105.8868408203125
lerobot\tests\utils\test_keyboard_input.py,10.22446346282959,5.357221603393555,1.125781536102295,12.589640617370605,10.970100402832031,robot_devices,12.589640617370605
lerobot\tests\policies\pi0_pi05\openpi_pytorch\preprocessing_pytorch.py,6.380183696746826,8.789835929870605,76.3082275390625,39.63508605957031,11.76928424835205,policies,76.3082275390625
lerobot\examples\isaac_teleop_to_so101\teleoperate.py,5.016298770904541,6.271181106567383,3.816899061203003,92.44526672363281,8.131263732910156,robot_devices,92.44526672363281
lerobot\src\lerobot\datasets\sampler.py,4.159516334533691,85.73670196533203,2.117293357849121,8.055431365966797,10.091901779174805,datasets,85.73670196533203
lerobot\tests\policies\rtc\test_latency_tracker.py,1.724073886871338,2.6474390029907227,68.43616485595703,1.4582639932632446,4.821048736572266,policies,68.43616485595703
lerobot\tests\rewards\test_robometer_processor.py,20.83193588256836,14.047124862670898,21.012834548950195,1.6520549058914185,12.742466926574707,policies,21.012834548950195
lerobot\src\lerobot\annotations\steerable_pipeline\__init__.py,0.20826999843120575,0.20826999843120575,0.0,8.981289863586426,0.20826999843120575,robot_devices,8.981289863586426
lerobot\tests\fixtures\constants.py,6.220589637756348,9.396224021911621,5.738100528717041,66.79790496826172,10.602429389953613,robot_devices,66.79790496826172
lerobot\tests\policies\groot\test_groot_training_optim_contract.py,25.153499603271484,6.797706604003906,81.59336853027344,14.062653541564941,14.492599487304688,policies,81.59336853027344
