file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\T2F\MRF.h,3.6363415718078613,9.99099349975586,73.4330825805664,8.886810302734375,6.134089946746826,4.99549674987793,6.134089946746826,120.14147186279297,7.194411277770996,15.442395210266113,6.134089946746826,10.185404777526855,12.790580749511719,7.687656402587891,T2F,120.14147186279297
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.h,3.119161605834961,7.929430961608887,16.309715270996094,6.2554240226745605,5.101519584655762,13.183926582336426,5.101519584655762,3.9647154808044434,5.315831661224365,16.889265060424805,5.101519584655762,7.562630653381348,10.39443588256836,16.306930541992188,ViBe,16.889265060424805
bgslibrary\bgslibrary\algorithms\lb\BGModel.cpp,1.1342049837112427,0.46438297629356384,22.926755905151367,2.2851855754852295,1.1342049837112427,0.0,1.1342049837112427,0.0,3.327138662338257,1.1342049837112427,1.1342049837112427,3.5489587783813477,95.6298828125,3.6777124404907227,lb,95.6298828125
bgslibrary\wrapper\java\src\bgslibrary_BgsLib.h,0.0,0.0,5.203388690948486,0.0,0.0,0.0,0.0,0.14453858137130737,1.0678967237472534,0.0,0.0,0.0,0.9224015474319458,0.0,LBP_MRF,5.203388690948486
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.h,20.38233184814453,7.591002941131592,6.803722381591797,6.227746486663818,4.762343406677246,24.63483428955078,4.762343406677246,5.800769329071045,5.15783166885376,2.951620101928711,4.762343406677246,7.241071701049805,9.949323654174805,14.0880708694458,PBAS,24.63483428955078
bgslibrary\bgslibrary\algorithms\StaticFrameDifference.h,18.629106521606445,0.3562201261520386,6.679717540740967,2.6174848079681396,1.1427955627441406,21.479671478271484,1.1427955627441406,0.17565271258354187,3.348078727722168,1.1427955627441406,1.1427955627441406,3.6218886375427246,1.5119503736495972,11.167900085449219,PBAS,21.479671478271484
bgslibrary\bgslibrary\algorithms\LOBSTER.h,19.51709747314453,4.353134632110596,33.963104248046875,97.81051635742188,3.1420774459838867,21.636489868164062,3.1420774459838867,2.175030469894409,4.3463287353515625,2.1420774459838867,3.1420774459838867,5.619022846221924,41.5098991394043,12.138910293579102,LBSP,97.81051635742188
bgslibrary\bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,3.007502317428589,16.640758514404297,44.53025436401367,6.672491550445557,11.356035232543945,20.51030731201172,6.663661479949951,29.94035530090332,5.146675109863281,15.407675743103027,6.663661479949951,7.290194511413574,44.49940872192383,14.860889434814453,LBP_MRF,44.53025436401367
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.cpp,19.47430992126465,10.989599227905273,27.344316482543945,6.390151023864746,7.055635929107666,14.284516334533691,7.055635929107666,4.023470878601074,5.240488529205322,15.838080406188965,7.055635929107666,7.538640022277832,87.75354766845703,14.96981430053711,lb,87.75354766845703
bgslibrary\bgslibrary\algorithms\KDE\NPBGSubtractor.h,1.1359264850616455,96.82450103759766,0.32759809494018555,28.101499557495117,1.1359264850616455,1.739555835723877,4.983860015869141,0.0,4.655982971191406,1.1359264850616455,1.1359264850616455,3.557114839553833,1.285261631011963,13.0545015335083,KDE,96.82450103759766
bgslibrary\bgslibrary\algorithms\LBP_MRF\graph.h,2.438959836959839,49.65912628173828,175.35397338867188,67.81282806396484,3.1120240688323975,1.3104512691497803,2.438959836959839,38.303993225097656,5.496583461761475,26.926555633544922,2.438959836959839,4.876039505004883,69.26915740966797,5.713386535644531,LBP_MRF,175.35397338867188
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.cpp,1.5151450634002686,82.82518768310547,12.022998809814453,3.213927745819092,1.1317028999328613,0.38344207406044006,1.5151450634002686,0.0,4.403865337371826,1.5151450634002686,1.5151450634002686,3.577399730682373,5.602928638458252,10.654519081115723,KDE,82.82518768310547
bgslibrary\gui\qt\qt_utils.h,0.3511667847633362,16.24268341064453,19.81025505065918,2.1314451694488525,2.1314451694488525,2.482611894607544,0.3511667847633362,2.622523307800293,0.3511667847633362,0.3511667847633362,0.3511667847633362,0.1746181696653366,2.6589391231536865,6.111635684967041,LBP_MRF,19.81025505065918
bgslibrary\bgslibrary\algorithms\dp\MeanBGS.h,3.121868371963501,7.938485622406006,16.34729766845703,6.260892391204834,5.106489658355713,13.229607582092285,5.106489658355713,3.969242811203003,5.3191752433776855,3.121868371963501,5.106489658355713,7.568934917449951,10.866911888122559,24.159015655517578,main,24.159015655517578
bgslibrary\bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,3.221086025238037,7.056999206542969,40.92961120605469,6.369927406311035,6.847713470458984,24.646251678466797,4.985335826873779,86.09274291992188,6.159716606140137,10.043212890625,103.29325866699219,13.09589958190918,8.208213806152344,8.730490684509277,VuMeter,103.29325866699219
bgslibrary\bgslibrary\FrameProcessor.cpp,68.4690170288086,91.86439514160156,190.86492919921875,22.419769287109375,101.21763610839844,61.27410125732422,116.42078399658203,63.186248779296875,118.9447021484375,62.7115478515625,114.2979965209961,1.3285120725631714,56.29893493652344,19.85837173461914,LBP_MRF,190.86492919921875
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV2.h,19.48012351989746,4.352118015289307,12.598664283752441,4.611837863922119,3.1418397426605225,23.243844985961914,3.1418397426605225,3.340181827545166,4.345749378204346,2.1418397426605225,3.1418397426605225,5.783431053161621,7.729838848114014,12.129304885864258,PBAS,23.243844985961914
bgslibrary\bgslibrary\algorithms\ViBe.h,20.809606552124023,6.5319600105285645,10.256366729736328,4.678867816925049,4.597222328186035,21.72171974182129,3.769242763519287,2.593390703201294,4.379848480224609,72.57430267333984,2.177630662918091,6.125031471252441,7.600523471832275,13.59337043762207,ViBe,72.57430267333984
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.cpp,19.47430992126465,10.989599227905273,27.344316482543945,6.390151023864746,7.055635929107666,14.284516334533691,7.055635929107666,4.023470878601074,5.240488529205322,15.838080406188965,7.055635929107666,7.538640022277832,87.75354766845703,14.96981430053711,lb,87.75354766845703
bgslibrary\bgslibrary\algorithms\FuzzySugenoIntegral.cpp,17.686458587646484,16.167110443115234,105.55047607421875,54.3345832824707,9.944844245910645,20.579343795776367,8.50019359588623,54.23890686035156,6.790523529052734,15.0903902053833,8.50019359588623,11.015830993652344,90.02516174316406,16.00811195373535,LBP_MRF,105.55047607421875
bgslibrary\bgslibrary\algorithms\MultiLayer\BGS.h,5.205709934234619,41.088584899902344,146.6894073486328,109.25070190429688,106.4028091430664,25.339141845703125,6.967729568481445,65.45340728759766,8.594167709350586,27.455293655395508,6.967729568481445,13.114991188049316,106.1330337524414,31.612398147583008,LBP_MRF,146.6894073486328
bgslibrary\bgslibrary\algorithms\T2FMRF_UV.cpp,18.732681274414062,12.675445556640625,65.1412582397461,8.276040077209473,7.918846607208252,24.685354232788086,7.918846607208252,69.55016326904297,7.07996940612793,15.180978775024414,7.918846607208252,8.421506881713867,51.84022903442383,14.97332763671875,T2F,69.55016326904297
bgslibrary\bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,1.8343756198883057,18.849964141845703,57.83163833618164,2.266493558883667,1.12540864944458,18.57447624206543,1.8343756198883057,6.671200752258301,4.0146636962890625,1.8343756198883057,1.8343756198883057,3.4881551265716553,133.737060546875,20.460691452026367,lb,133.737060546875
bgslibrary\gui\mfc\src\App.h,0.0,0.0,44.58258056640625,0.0,0.0,0.0,0.0,0.44668158888816833,0.0,0.0,0.0,0.0,2.87274432182312,5.21128511428833,LBP_MRF,44.58258056640625
bgslibrary\bgslibrary\algorithms\dp\WrenGA.h,3.119161605834961,7.929430961608887,16.309715270996094,6.2554240226745605,5.101519584655762,13.183926582336426,5.101519584655762,7.5329270362854,5.315831661224365,3.119161605834961,5.101519584655762,7.562630653381348,28.66384506225586,17.067655563354492,lb,28.66384506225586
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.h,18.51709747314453,0.4100036919116974,27.19275665283203,2.613239288330078,1.1420775651931763,20.154335021972656,1.1420775651931763,0.17503051459789276,3.3463287353515625,1.1420775651931763,1.1420775651931763,3.619022846221924,90.92034912109375,11.138910293579102,lb,90.92034912109375
bgslibrary\bgslibrary\algorithms\TwoPoints.h,19.49220848083496,6.595478534698486,10.32028865814209,4.708191871643066,4.637850284576416,21.97113037109375,2.190477132797241,2.6219916343688965,146.83738708496094,2.190477132797241,2.190477132797241,4.666001319885254,5.004786968231201,12.16860294342041,TwoPoints,146.83738708496094
