file_path,dsp,feature,general,mir,best_module,best_likelihood
audioflux\src\st_algorithm.h,1.4595431089401245,1.0,2.870777130126953,0.40848273038864136,general,2.870777130126953
audioflux\src\stft_algorithm.h,1.4374902248382568,1.0,1.826370358467102,4.406320095062256,mir,4.406320095062256
audioflux\src\temporal_algorithm.c,19.044740676879883,13.378994941711426,2.1891090869903564,13.014615058898926,dsp,19.044740676879883
audioflux\include\swt_algorithm.h,1.4655463695526123,1.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
audioflux\src\bft_algorithm.c,19.83773422241211,16.86341094970703,4.838859558105469,11.843171119689941,dsp,19.83773422241211
audioflux\src\wsst_algorithm.h,2.453692674636841,6.859241008758545,2.8569750785827637,0.40328240394592285,feature,6.859241008758545
audioflux\src\dsp\dct_algorithm.c,89.43241882324219,2.729135513305664,5.54836368560791,17.613636016845703,dsp,89.43241882324219
audioflux\src\filterbank\cqt_filterBank.h,1.0,6.074719429016113,1.0,0.0,feature,6.074719429016113
audioflux\src\dsp\filterDesign_fir.c,64.71781158447266,0.0,1.0677132606506348,53.93002700805664,dsp,64.71781158447266
audioflux\src\mir\onset_algorithm.h,1.4434287548065186,0.4839133620262146,1.8375874757766724,92.49231719970703,mir,92.49231719970703
audioflux\src\filterbank\chroma_filterBank.c,9.905936241149902,0.0,1.8319907188415527,42.155208587646484,mir,42.155208587646484
audioflux\src\dsp\czt_algorithm.h,81.97838592529297,0.0,1.8804106712341309,0.41431093215942383,dsp,81.97838592529297
audioflux\include\reassign_algorithm.h,1.4495306015014648,1.0,4.119402885437012,5.214538097381592,mir,5.214538097381592
audioflux\include\emd_algorithm.h,1.4677683115005493,1.583721399307251,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
audioflux\src\mir\_pitch_pef.c,11.339916229248047,4.605625152587891,0.8728245496749878,61.08673095703125,mir,61.08673095703125
audioflux\src\swt_algorithm.c,11.210282325744629,3.371151924133301,3.9107093811035156,0.27052944898605347,dsp,11.210282325744629
audioflux\src\fst_algorithm.c,19.531906127929688,1.0,4.552557945251465,12.242239952087402,dsp,19.531906127929688
audioflux\include\dwt_algorithm.h,18.827821731567383,1.6735039949417114,1.8793652057647705,0.41381892561912537,dsp,18.827821731567383
audioflux\include\cwt_algorithm.h,2.451601982116699,6.855281829833984,2.8530259132385254,0.4014240503311157,feature,6.855281829833984
audioflux\src\util\flux_util.h,17.27952766418457,8.67017650604248,3.643749237060547,44.547977447509766,mir,44.547977447509766
audioflux\src\spectrogram_algorithm.h,6.208015441894531,28.809898376464844,7.699341773986816,36.77250289916992,mir,36.77250289916992
audioflux\src\synsq_algorithm.c,2.2969677448272705,5.0,3.885350465774536,30.72010040283203,mir,30.72010040283203
audioflux\src\mir\harmonicRatio_algorithm.c,1.2969677448272705,1.0,2.6591572761535645,76.7160873413086,mir,76.7160873413086
audioflux\src\mir\_pitch_lhs.c,0.0,2.4114232063293457,0.5091208815574646,67.32620239257812,mir,67.32620239257812
audioflux\src\dsp\filterDesign_iir.h,81.62092590332031,0.0,0.0,26.539955139160156,dsp,81.62092590332031
audioflux\src\vector\flux_vectorOp.c,13.412410736083984,1.6588038206100464,2.7841925621032715,18.846418380737305,mir,18.846418380737305
audioflux\src\filterbank\nsgt_filterBank.c,20.267833709716797,7.348720073699951,2.308824062347412,43.06005096435547,mir,43.06005096435547
audioflux\src\filterbank\cwt_filterBank.c,36.379886627197266,8.62158489227295,2.143415927886963,9.243918418884277,dsp,36.379886627197266
audioflux\src\reassign_algorithm.h,1.4495306015014648,1.0,4.119402885437012,5.214538097381592,mir,5.214538097381592
audioflux\src\feature\spectral_algorithm.h,4.051939964294434,124.96866607666016,4.664070129394531,44.892181396484375,feature,124.96866607666016
audioflux\include\feature\xxcc_algorithm.h,1.4558027982711792,129.29539489746094,1.8609607219696045,2.405158042907715,feature,129.29539489746094
audioflux\include\classic\nmf.h,0.0,0.5865223407745361,0.8933607339859009,0.9846107959747314,mir,0.9846107959747314
audioflux\include\nsgt_algorithm.h,2.4414312839508057,6.0,2.8338146209716797,2.7453525066375732,feature,6.0
audioflux\src\mir\_pitch_yin.h,0.0,2.07075834274292,0.0,93.55970001220703,mir,93.55970001220703
audioflux\include\mir\_pitch_pef.h,0.0,3.066216468811035,0.0,81.10235595703125,mir,81.10235595703125
audioflux\src\dsp\resample_algorithm.c,58.327735900878906,3.1654725074768066,1.8936768770217896,19.945480346679688,dsp,58.327735900878906
audioflux\include\mir\_pitch_hps.h,14.904932022094727,2.5791592597961426,0.0,85.24705505371094,mir,85.24705505371094
audioflux\src\classic\nmf.h,0.0,0.5865223407745361,0.8933607339859009,0.9846107959747314,mir,0.9846107959747314
audioflux\src\filterbank\coef\__coef_r.h,38.46221160888672,0.0,0.9796357750892639,46.219566345214844,mir,46.219566345214844
audioflux\src\filterbank\nsgt_filterBank.h,1.0,6.0,1.0,3.392759323120117,feature,6.0
audioflux\src\filterbank\auditory_filterBank.h,1.0,5.0,1.9888414144515991,23.479999542236328,mir,23.479999542236328
audioflux\include\dsp\czt_algorithm.h,81.97838592529297,0.0,1.8804106712341309,0.41431093215942383,dsp,81.97838592529297
audioflux\src\synsq_algorithm.h,2.463893413543701,5.0,2.8762433528900146,0.4123498201370239,feature,5.0
audioflux\include\pwt_algorithm.h,2.451601982116699,6.0,2.8530259132385254,0.4014240503311157,feature,6.0
audioflux\src\filterbank\auditory_weight.c,0.0,0.0,2.403939723968506,49.72797393798828,mir,49.72797393798828
audioflux\include\mir\onset_algorithm.h,1.4434287548065186,0.4839133620262146,1.8375874757766724,92.49231719970703,mir,92.49231719970703
audioflux\src\cqt_algorithm.c,13.812020301818848,13.281787872314453,3.812185764312744,24.352785110473633,mir,24.352785110473633
audioflux\include\cepstrogram_algorithm.h,1.4536926746368408,8.053876876831055,1.8569750785827637,0.40328240394592285,feature,8.053876876831055
audioflux\src\mir\harmonic_algorithm.h,1.4584681987762451,3.504462957382202,1.8659954071044922,81.55231475830078,mir,81.55231475830078
audioflux\src\mir\pitchShift_algorithm.c,3.1648616790771484,5.266844749450684,2.2777130603790283,76.1451187133789,mir,76.1451187133789
audioflux\include\cwd_algorithm.h,1.4677683115005493,1.0,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
audioflux\src\mir\_queue.c,82.948974609375,2.7760009765625,3.840158224105835,69.996826171875,dsp,82.948974609375
audioflux\src\mir\harmonicRatio_algorithm.h,1.4622524976730347,1.0,1.8731435537338257,75.95335388183594,mir,75.95335388183594
audioflux\include\synsq_algorithm.h,2.463893413543701,5.0,2.8762433528900146,0.4123498201370239,feature,5.0
audioflux\src\dsp\dft_algorithm.c,105.90196990966797,1.7610440254211426,4.199644565582275,9.967422485351562,dsp,105.90196990966797
audioflux\src\dsp\fft_algorithm.c,106.9775390625,4.594766139984131,3.5818898677825928,27.621864318847656,dsp,106.9775390625
audioflux\src\dsp\resample_algorithm.h,79.3497085571289,1.9702095985412598,1.8300758600234985,28.030006408691406,dsp,79.3497085571289
audioflux\src\mir\_pitch_stft.h,0.0,2.07507061958313,0.8612345457077026,82.267822265625,mir,82.267822265625
audioflux\include\st_algorithm.h,1.4595431089401245,1.0,2.870777130126953,0.40848273038864136,general,2.870777130126953
audioflux\src\dsp\filterDesign_fir.h,79.40357208251953,0.0,0.0,50.555355072021484,dsp,79.40357208251953
audioflux\src\util\flux_wave.h,0.0,3.0079479217529297,0.0,14.62673282623291,mir,14.62673282623291
audioflux\src\dsp\conv_algorithm.c,66.35562133789062,5.357450008392334,8.594223976135254,2.012315034866333,dsp,66.35562133789062
audioflux\src\flux_spectral.c,3.6232211589813232,25.60548210144043,6.539060115814209,27.267436981201172,mir,27.267436981201172
audioflux\src\mir\_pitch_cep.c,8.263548851013184,2.162583827972412,0.5130444169044495,66.98182678222656,mir,66.98182678222656
audioflux\src\feature\spectral_algorithm.c,25.653356552124023,85.68497467041016,5.6786112785339355,20.535099029541016,feature,85.68497467041016
audioflux\src\track\tune_track.h,0.0,1.0,0.0,1.082512378692627,mir,1.082512378692627
audioflux\src\feature\deconv_algorithm.h,1.4649940729141235,127.37845611572266,1.8783221244812012,2.413328170776367,feature,127.37845611572266
audioflux\src\dsp\xcorr_algorithm.h,81.65269470214844,0.0,4.633976936340332,0.4113761782646179,dsp,81.65269470214844
audioflux\src\classic\hmm.h,0.0,3.4083499908447266,75.83257293701172,12.522625923156738,general,75.83257293701172
audioflux\src\dsp\filterDesign_freqz.c,72.08934783935547,1.2953070402145386,2.5353636741638184,15.375943183898926,dsp,72.08934783935547
audioflux\src\pwt_algorithm.h,2.451601982116699,6.0,2.8530259132385254,0.4014240503311157,feature,6.0
audioflux\src\vector\flux_vector.h,1.450846791267395,6.527839660644531,0.0,58.83108139038086,mir,58.83108139038086
