file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\LOBSTER.h,19.481922149658203,4.35216760635376,33.880271911621094,97.66161346435547,3.1418514251708984,21.582706451416016,3.1418514251708984,2.1748342514038086,4.2855119705200195,2.1418514251708984,3.1418514251708984,3.316685438156128,5.618119716644287,12.129772186279297,LBSP,97.66161346435547
bgslibrary\bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,3.0078983306884766,12.438324928283691,44.547142028808594,6.673365592956543,11.358084678649902,20.513029098510742,6.66494607925415,29.964162826538086,5.106143951416016,15.4140625,6.66494607925415,148.94662475585938,7.291115760803223,14.865211486816406,dp,148.94662475585938
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.cpp,19.478818893432617,10.991142272949219,27.35447120666504,6.390772819519043,7.0563249588012695,14.28978443145752,7.0563249588012695,4.023920059204102,5.186882019042969,15.8422269821167,7.0563249588012695,5.150927543640137,7.539268493652344,14.971741676330566,LBP_MRF,27.35447120666504
bgslibrary\bgslibrary\algorithms\KDE\NPBGSubtractor.h,1.135949730873108,96.83556365966797,0.32769137620925903,28.108795166015625,1.135949730873108,1.7396819591522217,4.984694480895996,0.0,4.598597526550293,1.135949730873108,1.135949730873108,2.8502917289733887,3.557224750518799,13.056929588317871,KDE,96.83556365966797
bgslibrary\bgslibrary\algorithms\LBP_MRF\graph.h,2.4395368099212646,49.66946792602539,175.3790283203125,67.83147430419922,3.112962245941162,1.3109921216964722,2.4395368099212646,38.317405700683594,5.442677021026611,26.934749603271484,2.4395368099212646,7.226597309112549,4.876692771911621,5.714097023010254,LBP_MRF,175.3790283203125
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.cpp,1.5152109861373901,82.83590698242188,12.027603149414062,3.2141506671905518,1.131733775138855,0.38347721099853516,1.5152109861373901,0.0,4.348208427429199,1.5152109861373901,1.5152109861373901,1.131733775138855,3.577523946762085,10.655349731445312,KDE,82.83590698242188
bgslibrary\gui\qt\qt_utils.h,0.35119667649269104,16.24492835998535,19.81193733215332,2.131626605987549,2.131626605987549,2.482823371887207,0.35119667649269104,2.622746467590332,1.352664589881897,0.35119667649269104,0.35119667649269104,0.17462864518165588,0.17462864518165588,6.112002372741699,LBP_MRF,19.81193733215332
bgslibrary\bgslibrary\algorithms\dp\MeanBGS.h,3.1219944953918457,7.938907623291016,16.349050521850586,6.261147499084473,5.1067214012146,13.231742858886719,5.1067214012146,3.969453811645508,5.2610297203063965,3.1219944953918457,5.1067214012146,90.92549896240234,7.5692291259765625,24.162195205688477,dp,90.92549896240234
bgslibrary\bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,3.2216832637786865,7.058730125427246,40.94284439086914,6.371431827545166,6.849214553833008,24.657703399658203,4.986365795135498,86.16207122802734,6.11954402923584,10.051066398620605,103.3408432006836,8.27082633972168,13.099068641662598,8.734731674194336,VuMeter,103.3408432006836
bgslibrary\bgslibrary\FrameProcessor.cpp,68.48677825927734,91.89726257324219,190.96011352539062,22.442251205444336,101.24925231933594,61.30140686035156,116.46757507324219,63.21876907348633,118.96317291259766,62.7264404296875,114.3423843383789,40.286529541015625,1.3294061422348022,19.865798950195312,LBP_MRF,190.96011352539062
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV2.h,19.44520378112793,4.351158618927002,12.581230163574219,4.610514163970947,3.1416149139404297,23.188688278198242,3.1416149139404297,3.33972430229187,4.285037040710449,2.1416149139404297,3.1416149139404297,4.316243648529053,5.782270908355713,12.12021541595459,PBAS,23.188688278198242
bgslibrary\bgslibrary\algorithms\ViBe.h,20.811992645263672,4.463010311126709,10.257314682006836,4.6793012619018555,4.597822666168213,21.725406646728516,3.769702911376953,2.59381365776062,4.320296287536621,72.57573699951172,2.1778206825256348,5.117348670959473,6.1253180503845215,13.594165802001953,ViBe,72.57573699951172
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.cpp,19.478818893432617,10.991142272949219,27.35447120666504,6.390772819519043,7.0563249588012695,14.28978443145752,7.0563249588012695,4.023920059204102,5.186882019042969,15.8422269821167,7.0563249588012695,5.150927543640137,7.539268493652344,14.971741676330566,LBP_MRF,27.35447120666504
bgslibrary\bgslibrary\algorithms\FuzzySugenoIntegral.cpp,17.693458557128906,14.618371963500977,105.56578826904297,54.34561538696289,9.947649002075195,20.592199325561523,8.501521110534668,54.25525665283203,6.753695011138916,15.098583221435547,8.501521110534668,20.016422271728516,11.018688201904297,16.011537551879883,LBP_MRF,105.56578826904297
bgslibrary\bgslibrary\algorithms\MultiLayer\BGS.h,5.206597805023193,34.665122985839844,146.7230987548828,109.29055786132812,106.43494415283203,25.3521728515625,6.969006061553955,65.48943328857422,8.757654190063477,27.46693229675293,6.969006061553955,21.878751754760742,13.117179870605469,31.818103790283203,LBP_MRF,146.7230987548828
bgslibrary\bgslibrary\algorithms\T2FMRF_UV.cpp,18.739044189453125,12.679180145263672,65.14669799804688,8.277694702148438,7.920629978179932,24.69465446472168,7.920629978179932,69.55599212646484,7.032074928283691,15.18723201751709,7.920629978179932,81.69793701171875,8.423182487487793,14.976512908935547,dp,81.69793701171875
bgslibrary\bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,1.834587812423706,18.851701736450195,57.85531997680664,2.2666029930114746,1.1254602670669556,18.57595443725586,1.834587812423706,6.672735691070557,3.9616663455963135,1.834587812423706,1.834587812423706,98.49409484863281,3.488394260406494,20.46588706970215,dp,98.49409484863281
bgslibrary\gui\mfc\src\App.h,0.0,0.0,44.5175895690918,0.0,0.0,0.0,0.0,0.4460303783416748,1.0015383958816528,0.0,0.0,0.148676797747612,0.0,5.203688144683838,LBP_MRF,44.5175895690918
bgslibrary\bgslibrary\algorithms\dp\WrenGA.h,3.1139302253723145,7.911921977996826,16.237041473388672,6.244853973388672,5.0919108390808105,13.096293449401855,5.0919108390808105,7.512728691101074,5.2516350746154785,3.1139302253723145,5.0919108390808105,95.93695068359375,7.550447463989258,17.01005744934082,dp,95.93695068359375
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.h,18.51881980895996,0.4100356698036194,27.195886611938477,2.613304615020752,1.1420886516571045,20.157041549682617,1.1420886516571045,0.1750401258468628,3.2859883308410645,1.1420886516571045,1.1420886516571045,1.3171287775039673,3.6190669536590576,11.139357566833496,LBP_MRF,27.195886611938477
bgslibrary\bgslibrary\algorithms\TwoPoints.h,19.494232177734375,4.502690315246582,10.321109771728516,4.708569526672363,4.638373851776123,21.974342346191406,2.1906425952911377,2.6223599910736084,146.7808074951172,2.1906425952911377,2.1906425952911377,5.162678241729736,4.666203022003174,12.169242858886719,TwoPoints,146.7808074951172
bgslibrary\gui\qt\texteditor.cpp,6.656803131103516,15.845758438110352,10.357739448547363,5.562244415283203,9.964048385620117,7.101753234863281,6.998725891113281,3.9482381343841553,8.006420135498047,25.074790954589844,9.941051483154297,3.597529172897339,5.086147308349609,7.506711006164551,ViBe,25.074790954589844
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.h,1.1418514251708984,84.35626220703125,13.617037773132324,3.232919931411743,1.1418514251708984,0.0,1.1418514251708984,0.0,4.038786888122559,13.425445556640625,1.1418514251708984,1.1418514251708984,3.4432854652404785,4.3747711181640625,KDE,84.35626220703125
bgslibrary\bgslibrary\algorithms\dp\GrimsonGMM.cpp,3.0557384490966797,11.675970077514648,41.24789810180664,6.7626214027404785,9.954051971435547,19.33144187927246,6.760625839233398,18.08512306213379,5.153984069824219,12.807513236999512,6.760625839233398,146.03958129882812,7.386795520782471,14.91305160522461,dp,146.03958129882812
bgslibrary\bgslibrary\algorithms\DPAdaptiveMedian.cpp,19.18402862548828,11.061368942260742,10.20595932006836,6.437329292297363,7.097504615783691,24.652286529541016,7.097504615783691,4.083547115325928,5.212114334106445,15.571820259094238,7.097504615783691,41.17224884033203,7.5852580070495605,14.887051582336426,dp,41.17224884033203
bgslibrary\bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,2.8480825424194336,8.690337181091309,24.74660873413086,6.858817100524902,6.386936664581299,10.163922309875488,128.80809020996094,3.58695125579834,4.980712890625,2.8480825424194336,6.386936664581299,4.7178730964660645,6.843452453613281,11.614607810974121,SigmaDelta,128.80809020996094
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.h,18.51881980895996,0.4100356698036194,27.195886611938477,2.613304615020752,1.1420886516571045,20.157041549682617,1.1420886516571045,0.1750401258468628,3.2859883308410645,1.1420886516571045,1.1420886516571045,1.3171287775039673,3.6190669536590576,11.139357566833496,LBP_MRF,27.195886611938477
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV1.cpp,20.007305145263672,11.501654624938965,16.611732482910156,9.259676933288574,7.362099647521973,16.051355361938477,7.362099647521973,6.781130313873291,5.277613639831543,16.243085861206055,7.362099647521973,7.048602104187012,7.889010429382324,13.5590181350708,IMBS,20.007305145263672
bgslibrary\bgslibrary\algorithms\WeightedMovingVariance.cpp,17.071449279785156,9.715047836303711,17.689647674560547,7.886271953582764,6.565698146820068,12.00667953491211,6.565698146820068,51.77271270751953,4.878291130065918,18.198928833007812,6.565698146820068,6.817727088928223,6.933938026428223,22.608623504638672,T2F,51.77271270751953
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,19.19771957397461,11.544903755187988,17.04654884338379,9.14648151397705,7.391732692718506,17.059663772583008,7.391732692718506,49.271568298339844,5.316652774810791,16.671281814575195,7.391732692718506,6.440794944763184,7.8083930015563965,13.502214431762695,T2F,49.271568298339844
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,5.3922295570373535,18.92027473449707,40.91002655029297,99.7942886352539,3.606257677078247,3.765641212463379,3.278966188430786,13.123703956604004,5.53246545791626,19.635971069335938,4.278966426849365,5.377546310424805,7.284430027008057,15.248727798461914,LBSP,99.7942886352539
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.cpp,3.113130807876587,9.847013473510742,29.74818992614746,7.038277626037598,9.388787269592285,10.80926513671875,6.94057559967041,46.3397331237793,5.221206188201904,10.942986488342285,6.94057559967041,79.49983978271484,11.129414558410645,17.367929458618164,dp,79.49983978271484
bgslibrary\bgslibrary\FrameProcessor.h,68.83602905273438,90.75424194335938,196.52146911621094,30.481426239013672,96.122802734375,16.06308364868164,115.21833801269531,61.96729278564453,117.69277954101562,62.26669692993164,113.15264892578125,39.680904388427734,1.3753790855407715,12.480494499206543,LBP_MRF,196.52146911621094
bgslibrary\wrapper\matlab\mxarray.h,18.39358901977539,0.05450940132141113,10.207113265991211,10.237494468688965,0.0,4.884597301483154,0.7322759628295898,5.247856140136719,3.9922471046447754,17.522308349609375,0.7322759628295898,8.20949935913086,1.9292166233062744,7.884256839752197,IMBS,18.39358901977539
bgslibrary\bgslibrary\algorithms\FrameDifference.cpp,20.184959411621094,11.561958312988281,10.815702438354492,9.314356803894043,7.391876220703125,16.273040771484375,7.391876220703125,4.208831310272217,5.286671161651611,3.153221368789673,7.391876220703125,5.340564727783203,7.7461628913879395,14.195188522338867,IMBS,20.184959411621094
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.cpp,1.135949730873108,82.30281829833984,17.205615997314453,3.3366000652313232,1.135949730873108,0.0,1.135949730873108,0.0,3.9955899715423584,14.820066452026367,1.135949730873108,1.135949730873108,3.4248428344726562,4.472549915313721,KDE,82.30281829833984
bgslibrary\gui\qt\qt_utils.cpp,0.391009122133255,16.64221954345703,34.52043533325195,2.7457616329193115,4.3863115310668945,2.3027596473693848,0.391009122133255,2.42388653755188,2.6675517559051514,28.28371238708496,0.391009122133255,1.2839139699935913,3.9576992988586426,7.3005051612854,LBP_MRF,34.52043533325195
bgslibrary\bgslibrary\algorithms\VuMeter.h,20.185466766357422,7.601820945739746,7.977266788482666,6.234081745147705,4.767475605010986,25.99346923828125,4.767475605010986,3.8005504608154297,5.097257137298584,2.9543099403381348,142.31683349609375,4.941694736480713,7.241626739501953,22.16071319580078,VuMeter,142.31683349609375
bgslibrary\wrapper\python\ndarray_converter.h,0.0,0.0,12.573291778564453,0.3069446086883545,0.0,0.0,0.0,1.8890818357467651,1.0014554262161255,0.0,0.0,1.9159241914749146,0.32563772797584534,6.754863739013672,LBP_MRF,12.573291778564453
bgslibrary\bgslibrary\algorithms\WeightedMovingMean.cpp,18.69358253479004,11.318787574768066,17.2730655670166,8.915361404418945,7.326328754425049,14.33903694152832,7.326328754425049,50.24660873413086,5.253949165344238,16.989635467529297,7.326328754425049,5.331474781036377,7.680523872375488,13.459908485412598,T2F,50.24660873413086
bgslibrary\bgslibrary\algorithms\SigmaDelta.h,18.656505584716797,0.35318222641944885,6.654626846313477,2.873377561569214,1.2797743082046509,19.63912582397461,142.5634002685547,0.1750401258468628,3.5613598823547363,1.2797743082046509,1.2797743082046509,1.4548144340515137,4.0168256759643555,11.537116050720215,SigmaDelta,142.5634002685547
bgslibrary\bgslibrary\algorithms\LBP_MRF\MEImage.hpp,2.1704838275909424,20.017053604125977,153.3458251953125,49.55259704589844,6.349870204925537,5.813947677612305,2.1704838275909424,24.190629959106445,5.182207107543945,11.039789199829102,2.1704838275909424,19.81867790222168,13.155714988708496,41.503257751464844,LBP_MRF,153.3458251953125
bgslibrary\bgslibrary\algorithms\DPMean.h,18.300100326538086,0.34718069434165955,6.604393005371094,2.605013847351074,1.1406769752502441,22.26742172241211,1.1406769752502441,0.17381145060062408,3.2831525802612305,1.1406769752502441,1.1406769752502441,92.82742309570312,3.613426923751831,12.918516159057617,dp,92.82742309570312
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV2.cpp,20.024076461791992,11.406335830688477,17.089330673217773,9.234648704528809,7.303763389587402,16.108999252319336,7.303763389587402,5.32680606842041,5.256053447723389,3.1234230995178223,7.303763389587402,6.28104305267334,7.860337734222412,13.115291595458984,IMBS,20.024076461791992
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorPAWCS.cpp,2.362922191619873,5.837667465209961,46.887908935546875,91.93914031982422,3.196103811264038,3.5156455039978027,3.7270543575286865,30.327478408813477,5.6880621910095215,19.525184631347656,4.362922191619873,10.164284706115723,7.260020732879639,33.013282775878906,LBSP,91.93914031982422
bgslibrary\bgslibrary\algorithms\MultiLayer\blob.cpp,7.318593978881836,2.927395820617676,30.22679901123047,3.077576160430908,73.22470092773438,9.300898551940918,3.0861637592315674,17.417633056640625,4.284711837768555,8.963361740112305,1.6224658489227295,4.937469482421875,84.67362213134766,59.9182243347168,general,84.67362213134766
bgslibrary\bgslibrary\algorithms\dp\Image.cpp,12.396638870239258,2.0,0.0,2.2852416038513184,1.1342313289642334,0.0,1.1342313289642334,0.0,3.270202159881592,1.1342313289642334,1.1342313289642334,82.83916473388672,3.4194729328155518,3.4194729328155518,dp,82.83916473388672
bgslibrary\bgslibrary\algorithms\LBP_MRF\MEHistogram.cpp,14.271136283874512,28.098861694335938,120.59453582763672,38.467288970947266,5.449976444244385,18.739046096801758,2.208207607269287,30.30668067932129,5.247265815734863,16.012468338012695,2.208207607269287,7.511072158813477,5.393768787384033,7.099153518676758,LBP_MRF,120.59453582763672
bgslibrary\bgslibrary\algorithms\DPTexture.h,18.193092346191406,0.4039553701877594,9.051141738891602,2.6009576320648193,1.1399816274642944,20.47062873840332,1.1399816274642944,1.8084584474563599,3.2817554473876953,13.147611618041992,1.1399816274642944,100.60651397705078,3.6106460094451904,12.883310317993164,dp,100.60651397705078
bgslibrary\wrapper\matlab\mxtypes.h,0.4125297963619232,0.0,0.0,0.0,0.0,0.4125297963619232,0.4125297963619232,18.206188201904297,1.4132723808288574,0.4125297963619232,0.4125297963619232,0.910929262638092,0.0,0.5136128664016724,T2F,18.206188201904297
