file_path,dns,general,http_general,httpserver,pools,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\transport\test\AsyncUDPSocketFactoryTest.cpp,1.0004820823669434,4.218192771077156E-4,4.218192771077156E-4,1.0004217624664307,1.0,0.0,0.0,94.6017074584961,transport,94.6017074584961
proxygen\proxygen\lib\stats\PeriodicStatsDataBase.h,1.000496745109558,0.34924304485321045,4.3465604539960623E-4,1.0004346370697021,1.0,0.03395354002714157,0.0,4.3465604539960623E-4,dns,1.000496745109558
proxygen\proxygen\lib\stats\BaseStats.h,1.000427484512329,2.2416088581085205,0.3302835524082184,3.3045482635498047,1.3127892017364502,0.3644084930419922,0.0,3.740914398804307E-4,httpserver,3.3045482635498047
proxygen\proxygen\lib\http\coro\filters\test\Status1xxFilterTest.cpp,1.000544548034668,3.134519338607788,48.78032684326172,3.5023467540740967,1.9597910642623901,2.0825693607330322,14.325860023498535,0.3768792450428009,http_general,48.78032684326172
proxygen\proxygen\lib\http\session\test\ByteEventTrackerMocks.h,1.0005289316177368,1.248374581336975,49.9603385925293,3.496286392211914,1.0,1.3305490016937256,0.18593379855155945,0.3723304569721222,http_general,49.9603385925293
proxygen\proxygen\lib\http\coro\filters\test\MutateFilterTest.cpp,1.000472068786621,3.607886552810669,47.57420349121094,4.789450645446777,49.28776168823242,2.43695330619812,17.75492286682129,0.3331540822982788,pools,49.28776168823242
proxygen\proxygen\lib\http\coro\client\ProxygenCertVerifier.h,1.0005215406417847,3.0134618282318115,49.2209587097168,3.9320311546325684,1.4043374061584473,2.025719165802002,0.19771409034729004,0.39588454365730286,http_general,49.2209587097168
proxygen\proxygen\lib\transport\PersistentQuicTokenCache.h,1.0004973411560059,4.351857933215797E-4,4.351857933215797E-4,1.4117352962493896,1.4113001823425293,0.03417764604091644,0.0,106.30870819091797,transport,106.30870819091797
proxygen\proxygen\lib\http\session\HTTPSessionAcceptor.h,1.0004687309265137,3.521601915359497,50.243621826171875,4.724163055419922,4.220625877380371,2.5782783031463623,13.51705265045166,39.329288482666016,http_general,50.243621826171875
proxygen\proxygen\lib\http\codec\QPACKDecoderCodec.h,1.0004775524139404,4.954474925994873,59.23122024536133,4.270397186279297,1.2942458391189575,3.8730993270874023,0.42968177795410156,2.967203378677368,http_general,59.23122024536133
proxygen\proxygen\lib\http\codec\HTTPCodecPrinter.cpp,13.955351829528809,6.2173309326171875,52.138771057128906,4.245639324188232,1.7228047847747803,4.890231609344482,27.67496681213379,0.3922179043292999,http_general,52.138771057128906
proxygen\proxygen\httpserver\samples\proxy\SessionWrapper.h,1.000555157661438,1.0004857778549194,40.50382614135742,96.83670043945312,3.5124945640563965,1.0,1.0,4.857662715949118E-4,httpserver,96.83670043945312
proxygen\proxygen\lib\transport\test\PersistentFizzPskCacheTest.cpp,17.56407356262207,3.459768533706665,3.3468244075775146,4.490968704223633,3.167435646057129,0.7496414184570312,15.772418975830078,74.0574722290039,transport,74.0574722290039
