file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\dp\WrenGA.h,3.180175304412842,8.132862091064453,17.154090881347656,6.378720283508301,5.213390827178955,14.274662017822266,5.213390827178955,7.767602443695068,5.32895565032959,3.180175304412842,5.213390827178955,100.3824234008789,29.70183753967285,17.74046516418457,dp,100.3824234008789
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.h,20.20231819152832,0.4401499629020691,30.28204917907715,2.677081823348999,1.1525239944458008,22.850250244140625,1.1525239944458008,0.1839040070772171,3.3069252967834473,1.1525239944458008,1.1525239944458008,1.3364280462265015,97.96045684814453,11.558218955993652,lb,97.96045684814453
bgslibrary\bgslibrary\algorithms\TwoPoints.h,19.638036727905273,6.654547214508057,10.37938117980957,4.73544454574585,4.675624847412109,22.203067779541016,2.202415704727173,2.6485788822174072,147.03273010253906,2.202415704727173,2.202415704727173,5.204309940338135,5.044173240661621,12.214664459228516,TwoPoints,147.03273010253906
bgslibrary\gui\qt\texteditor.cpp,6.969951152801514,16.77452850341797,10.885396957397461,5.816766738891602,10.38095474243164,7.453004360198975,7.2514262199401855,4.112342834472656,8.331682205200195,25.73815155029297,10.360081672668457,3.734332799911499,7.551599979400635,7.8421125411987305,ViBe,25.73815155029297
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.h,1.1525239944458008,88.06974792480469,15.480901718139648,3.3256828784942627,1.1525239944458008,0.0,1.1525239944458008,0.0,4.116875171661377,15.117465019226074,1.1525239944458008,1.1525239944458008,1.1715894937515259,4.478206634521484,KDE,88.06974792480469
bgslibrary\bgslibrary\algorithms\dp\GrimsonGMM.cpp,3.104238748550415,13.683429718017578,43.24109649658203,6.872334003448486,10.201942443847656,19.614532470703125,6.9314961433410645,20.00591278076172,5.2135491371154785,13.965710639953613,6.9314961433410645,154.6728515625,46.735618591308594,15.525800704956055,dp,154.6728515625
bgslibrary\bgslibrary\algorithms\DPAdaptiveMedian.cpp,20.577280044555664,11.485379219055176,10.763896942138672,6.603784561157227,7.282365322113037,26.6928653717041,7.282365322113037,4.196084022521973,5.28668212890625,16.82391929626465,7.282365322113037,41.327178955078125,36.625003814697266,15.45233154296875,dp,41.327178955078125
bgslibrary\bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,2.871264696121216,8.79773235321045,25.14933967590332,6.92570686340332,6.454902172088623,10.28916072845459,130.4193878173828,3.6313869953155518,5.006227970123291,2.871264696121216,6.454902172088623,4.764619827270508,7.829953670501709,11.757246971130371,SigmaDelta,130.4193878173828
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.h,20.20231819152832,0.4401499629020691,30.28204917907715,2.677081823348999,1.1525239944458008,22.850250244140625,1.1525239944458008,0.1839040070772171,3.3069252967834473,1.1525239944458008,1.1525239944458008,1.3364280462265015,97.96045684814453,11.558218955993652,lb,97.96045684814453
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV1.cpp,20.28561782836914,11.574565887451172,16.787521362304688,9.341562271118164,7.389360427856445,16.383752822875977,7.389360427856445,6.829123497009277,5.291121006011963,16.4969425201416,7.389360427856445,7.083016395568848,10.717987060546875,13.639819145202637,IMBS,20.28561782836914
bgslibrary\bgslibrary\algorithms\WeightedMovingVariance.cpp,17.548725128173828,9.932365417480469,17.866992950439453,8.068196296691895,6.661689281463623,12.615331649780273,6.661689281463623,52.42548370361328,4.9241042137146,18.420856475830078,6.661689281463623,6.935421943664551,8.94959831237793,22.852516174316406,T2F,52.42548370361328
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,20.309322357177734,11.787095069885254,17.612747192382812,9.44779109954834,7.481508731842041,18.39216423034668,7.481508731842041,51.09112548828125,5.354903221130371,17.530900955200195,7.481508731842041,6.491890907287598,7.778585910797119,13.802803039550781,T2F,51.09112548828125
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,5.733236789703369,19.565288543701172,42.28703308105469,101.61872100830078,3.6818442344665527,3.8512587547302246,3.3012399673461914,14.210077285766602,5.585446357727051,19.753711700439453,4.301239967346191,5.478338241577148,43.045894622802734,15.808208465576172,LBSP,101.61872100830078
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.cpp,3.1558871269226074,10.060283660888672,31.447782516479492,7.1886444091796875,9.678970336914062,11.720426559448242,7.102581977844238,48.61843490600586,5.275426864624023,12.272663116455078,7.102581977844238,83.7369613647461,11.838542938232422,17.811307907104492,dp,83.7369613647461
bgslibrary\bgslibrary\FrameProcessor.h,70.1255874633789,92.82792663574219,203.12796020507812,32.24884033203125,98.39981079101562,16.91010856628418,118.20427703857422,63.63377380371094,120.73455047607422,63.2093391418457,115.98460388183594,39.78031921386719,63.47593307495117,12.665484428405762,LBP_MRF,203.12796020507812
bgslibrary\wrapper\matlab\mxarray.h,19.69672203063965,0.06259328126907349,11.349874496459961,11.299809455871582,0.0,5.319658279418945,0.745868980884552,5.79348087310791,4.178842067718506,18.203609466552734,0.745868980884552,8.454499244689941,7.445769309997559,8.785318374633789,IMBS,19.69672203063965
bgslibrary\bgslibrary\algorithms\FrameDifference.cpp,21.526058197021484,11.889705657958984,11.25041389465332,9.702594757080078,7.50760555267334,17.877941131591797,7.50760555267334,4.294347763061523,5.3467116355896,3.202141046524048,7.50760555267334,5.437139987945557,7.689987659454346,14.672933578491211,IMBS,21.526058197021484
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.cpp,1.1469595432281494,86.13362121582031,17.81099510192871,3.383543014526367,1.1469595432281494,0.0,1.1469595432281494,0.0,4.076140880584717,15.939279556274414,1.1469595432281494,1.1469595432281494,1.1653294563293457,4.5305023193359375,KDE,86.13362121582031
bgslibrary\gui\qt\qt_utils.cpp,0.393342524766922,17.007957458496094,35.07943344116211,2.8061039447784424,4.4676408767700195,2.347106695175171,0.393342524766922,2.471609592437744,2.700843572616577,28.729202270507812,0.393342524766922,1.3028072118759155,3.4463300704956055,7.3719892501831055,LBP_MRF,35.07943344116211
bgslibrary\bgslibrary\algorithms\VuMeter.h,20.337772369384766,7.642373561859131,8.025348663330078,6.257818698883057,4.786708831787109,26.209566116333008,4.786708831787109,3.8196635246276855,5.1082658767700195,2.964387893676758,142.58151245117188,4.961730480194092,7.119473457336426,22.30000877380371,VuMeter,142.58151245117188
bgslibrary\wrapper\python\ndarray_converter.h,0.0,0.0,12.630332946777344,0.3105299472808838,0.0,0.0,0.0,1.9011189937591553,1.0014724731445312,0.0,0.0,1.9328454732894897,1.4263707399368286,6.774566173553467,LBP_MRF,12.630332946777344
bgslibrary\bgslibrary\algorithms\WeightedMovingMean.cpp,19.09041976928711,11.423112869262695,17.464431762695312,9.033086776733398,7.365694522857666,14.823759078979492,7.365694522857666,50.84330749511719,5.273215293884277,17.284074783325195,7.365694522857666,5.360124588012695,7.583531856536865,13.572558403015137,T2F,50.84330749511719
bgslibrary\bgslibrary\algorithms\SigmaDelta.h,18.780256271362305,0.35655519366264343,6.68247127532959,2.880502223968506,1.2818738222122192,19.826684951782227,142.7838897705078,0.17571990191936493,3.565565824508667,1.2818738222122192,1.2818738222122192,1.4575936794281006,1.6357282400131226,11.572591781616211,SigmaDelta,142.7838897705078
