file_path,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\LBP_MRF\block.h,0.0,132.88864135742188,70.16426086425781,1.1214611530303955,0.0,1.1214611530303955,21.95209312438965,3.296074151992798,17.116416931152344,1.1214611530303955,3.5848140716552734,4.661656379699707,65.42794799804688,3.9387338161468506,LBP_MRF,132.88864135742188
bgslibrary\bgslibrary\algorithms\dp\Image.h,0.0,0.0,2.244903087615967,1.1152485609054565,0.0,1.1152485609054565,0.0,3.280930280685425,1.1152485609054565,1.1152485609054565,127.86238098144531,3.51052188873291,1.9729658365249634,3.360151767730713,dp,127.86238098144531
bgslibrary\bgslibrary\algorithms\T2F\T2FGMM.h,11.157946586608887,27.45401382446289,6.1299309730529785,6.715800762176514,14.809419631958008,4.9760003089904785,95.324462890625,5.253117561340332,3.0564138889312744,4.9760003089904785,85.84268188476562,7.437182426452637,12.101484298706055,21.828500747680664,T2F,95.324462890625
bgslibrary\bgslibrary\VideoAnalysis.h,17.572298049926758,0.0,0.8217744827270508,0.0,1.1373701095581055,1.1373701095581055,0.0,2.2003538608551025,14.7338285446167,1.1373701095581055,0.0,1.0,5.128605842590332,2.821774482727051,KDE,17.572298049926758
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.cpp,25.993478775024414,45.01554870605469,2.2608189582824707,1.1227383613586426,9.895537376403809,1.5033000707626343,0.24594977498054504,3.679749011993408,1.5033000707626343,1.5033000707626343,86.91910552978516,3.475844383239746,118.69874572753906,17.55398178100586,lb,118.69874572753906
bgslibrary\bgslibrary\algorithms\FrameDifference.h,0.36030352115631104,6.713094234466553,2.623086929321289,1.1437376737594604,21.714431762695312,1.1437376737594604,0.17646640539169312,3.3503756523132324,1.1437376737594604,1.1437376737594604,1.3202041387557983,3.6256468296051025,1.5146377086639404,12.205902099609375,PBAS,21.714431762695312
bgslibrary\bgslibrary\algorithms\T2FGMM_UM.cpp,10.950586318969727,10.299907684326172,6.374422073364258,7.03818416595459,24.8902530670166,7.03818416595459,43.7244987487793,5.232863903045654,15.733244895935059,7.03818416595459,83.39537811279297,7.522742748260498,50.89837646484375,14.936763763427734,dp,83.39537811279297
bgslibrary\wrapper\matlab\backgroundSubtractor_wrapper.cpp,94.12288665771484,132.51100158691406,47.099037170410156,98.33570098876953,46.36857986450195,117.32980346679688,59.630714416503906,121.0782470703125,73.50231170654297,115.26486206054688,43.70317840576172,7.00243616104126,77.46822357177734,15.455059051513672,LBP_MRF,132.51100158691406
bgslibrary\gui\mfc\src\App.cpp,0.0,45.153602600097656,6.235747814178467,0.0,0.0,0.0,0.4448237419128418,0.6393986940383911,0.0,0.0,2.3149991035461426,4.830788612365723,4.2278733253479,5.742844104766846,LBP_MRF,45.153602600097656
bgslibrary\bgslibrary\algorithms\PBAS\PBAS.cpp,18.553340911865234,37.48757553100586,25.37210464477539,4.08594274520874,103.17413330078125,4.423918724060059,46.38426971435547,5.152957916259766,12.773669242858887,4.423918724060059,12.977034568786621,8.703518867492676,14.125670433044434,37.208805084228516,PBAS,103.17413330078125
bgslibrary\bgslibrary\Main.cpp,32.55434036254883,4.858635902404785,12.088178634643555,11.422835350036621,9.529845237731934,7.700587749481201,7.423518657684326,6.986745834350586,6.922543048858643,7.700587749481201,7.830660820007324,18.308979034423828,14.14477825164795,79.23734283447266,main,79.23734283447266
bgslibrary\bgslibrary\algorithms\lb\BGModelFuzzyGauss.h,0.3553803563117981,29.391399383544922,2.3030261993408203,1.142600655555725,14.047988891601562,1.142600655555725,39.88170623779297,3.3476037979125977,1.142600655555725,1.142600655555725,1.142600655555725,3.5891947746276855,102.23509979248047,3.731860399246216,lb,102.23509979248047
bgslibrary\bgslibrary\algorithms\KDE.cpp,120.91511535644531,10.912399291992188,7.14940071105957,6.955164909362793,13.512386322021484,10.5094633102417,4.996346950531006,6.564008712768555,17.60338020324707,6.955164909362793,5.567208290100098,7.399839401245117,7.055805683135986,15.238473892211914,KDE,120.91511535644531
bgslibrary\bgslibrary\algorithms\MultiCue.h,14.107508659362793,12.103903770446777,29.61534309387207,10.66849422454834,38.69675064086914,4.884728908538818,8.932246208190918,5.5535454750061035,16.55169677734375,4.884728908538818,33.78888702392578,6.353485584259033,19.55852508544922,19.98927879333496,PBAS,38.69675064086914
bgslibrary\bgslibrary\algorithms\ViBe\vibe-background-sequential.h,17.157901763916016,28.47089195251465,9.966653823852539,11.257560729980469,14.179089546203613,7.991576671600342,7.10634708404541,6.553560733795166,70.38312530517578,7.991576671600342,10.098611831665039,9.767928123474121,12.935169219970703,22.32770347595215,ViBe,70.38312530517578
bgslibrary\gui\qt\bgslibrary_gui.cpp,14.96077823638916,0.0,12.916468620300293,7.48038911819458,9.315170288085938,7.887823104858398,7.48038911819458,7.1367268562316895,6.074975967407227,7.887823104858398,7.90338659286499,13.090181350708008,13.355978965759277,64.45629119873047,main,64.45629119873047
bgslibrary\bgslibrary\algorithms\dp\Error.h,15.148326873779297,6.4256181716918945,3.570136308670044,1.1457719802856445,0.0,1.1457719802856445,0.16994182765483856,4.034826278686523,1.1457719802856445,1.1457719802856445,86.86617279052734,3.4555373191833496,1.333935260772705,5.249555587768555,dp,86.86617279052734
bgslibrary\bgslibrary\algorithms\LBSimpleGaussian.cpp,11.506237983703613,30.923418045043945,6.598217010498047,7.281299591064453,15.4850492477417,7.281299591064453,4.170383930206299,5.339841842651367,17.230133056640625,7.281299591064453,5.310381889343262,7.74697732925415,95.60225677490234,15.602569580078125,lb,95.60225677490234
bgslibrary\bgslibrary\algorithms\T2FGMM_UM.h,0.35058996081352234,6.633038520812988,2.6097288131713867,1.1414813995361328,22.439228057861328,1.1414813995361328,38.04228973388672,3.3448753356933594,1.1414813995361328,1.1414813995361328,97.43636322021484,3.6166417598724365,15.847079277038574,12.959269523620605,dp,97.43636322021484
bgslibrary\gui\mfc\src\Dlg.h,43.21897506713867,63.869625091552734,0.0,0.0,17.73940086364746,0.3536094129085541,0.7329725623130798,0.3536094129085541,1.3536094427108765,1.3536094427108765,1.2925390005111694,0.4188482165336609,6.88440465927124,12.853157043457031,LBP_MRF,63.869625091552734
bgslibrary\bgslibrary\algorithms\TwoPoints\two_points.cpp,8.160028457641602,42.587711334228516,24.838512420654297,5.869026184082031,33.56963348388672,2.527679681777954,3.4922831058502197,104.72813415527344,14.834959030151367,2.527679681777954,6.497297763824463,4.730987071990967,7.4993510246276855,19.66368865966797,TwoPoints,104.72813415527344
bgslibrary\bgslibrary\tools\FuzzyUtils.h,0.0,91.72241973876953,40.797523498535156,0.0,0.0,0.0,2.277041435241699,1.0611132383346558,0.0,0.0,0.27704131603240967,0.0,70.48480224609375,15.544668197631836,LBP_MRF,91.72241973876953
bgslibrary\wrapper\python\ndarray_converter.cpp,1.170170783996582,36.16984176635742,18.246572494506836,0.0,0.0,1.0,71.70061492919922,1.9371559619903564,15.998865127563477,0.0,26.813621520996094,0.690747857093811,11.799520492553711,14.43697738647461,T2F,71.70061492919922
