file_path,IMBS,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.h,20.328611373901367,30.515958786010742,2.681861400604248,1.1532764434814453,23.056161880493164,1.1532764434814453,0.18452860414981842,3.373627185821533,1.1532764434814453,1.1532764434814453,1.3378050327301025,3.663517475128174,98.49801635742188,11.58824348449707,lb,98.49801635742188
bgslibrary\bgslibrary\algorithms\TwoPoints.h,19.759780883789062,10.4285888671875,4.758244514465332,4.70723819732666,22.397212982177734,2.2124030590057373,2.6708271503448486,147.30438232421875,2.2124030590057373,2.2124030590057373,5.239634990692139,4.692669868469238,5.077120780944824,12.252952575683594,TwoPoints,147.30438232421875
bgslibrary\gui\qt\texteditor.cpp,7.2748122215271,11.381591796875,6.06218147277832,10.77244758605957,7.794960021972656,7.490249156951904,4.2718186378479,8.687687873840332,26.3614444732666,10.760832786560059,3.867515802383423,5.416900157928467,7.866211891174316,8.166265487670898,ViBe,26.3614444732666
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.h,1.1532764434814453,15.620404243469238,3.3322227001190186,1.1532764434814453,0.0,1.1532764434814453,0.0,4.187572956085205,15.244058609008789,1.1532764434814453,1.1532764434814453,3.4789888858795166,1.172435998916626,4.485499382019043,LBP_MRF,15.620404243469238
bgslibrary\bgslibrary\algorithms\dp\GrimsonGMM.cpp,3.1266746520996094,44.19002151489258,6.922861576080322,10.318747520446777,19.74034881591797,7.013319492340088,21.022844314575195,5.289730548858643,14.54324722290039,7.013319492340088,158.8488311767578,7.556711196899414,47.865684509277344,15.813520431518555,dp,158.8488311767578
bgslibrary\bgslibrary\algorithms\DPAdaptiveMedian.cpp,20.944042205810547,10.898787498474121,6.644824981689453,7.326717853546143,27.22184944152832,7.326717853546143,4.222860336303711,5.363696575164795,17.135683059692383,7.326717853546143,41.36398696899414,7.79371976852417,37.30108642578125,15.589463233947754,dp,41.36398696899414
bgslibrary\bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,2.8915836811065674,25.496612548828125,6.983999729156494,6.514554977416992,10.397642135620117,131.80653381347656,3.6703667640686035,5.085978031158447,2.8915836811065674,6.514554977416992,4.8055877685546875,6.935291290283203,7.894136428833008,11.880315780639648,SigmaDelta,131.80653381347656
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.h,20.328611373901367,30.515958786010742,2.681861400604248,1.1532764434814453,23.056161880493164,1.1532764434814453,0.18452860414981842,3.373627185821533,1.1532764434814453,1.1532764434814453,1.3378050327301025,3.663517475128174,98.49801635742188,11.58824348449707,lb,98.49801635742188
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV1.cpp,20.529603958129883,16.93779182434082,9.412964820861816,7.412432670593262,16.675622940063477,7.412432670593262,6.870177268981934,5.359785079956055,16.71550941467285,7.412432670593262,7.112371444702148,7.950076103210449,10.762726783752441,13.708529472351074,IMBS,20.529603958129883
bgslibrary\bgslibrary\algorithms\WeightedMovingVariance.cpp,18.001996994018555,18.01849937438965,8.238896369934082,6.748508453369141,13.193174362182617,6.748508453369141,52.99115753173828,5.012962818145752,18.61233901977539,6.748508453369141,10.679113388061523,7.115550994873047,9.103384017944336,23.064788818359375,T2F,52.99115753173828
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,20.697612762451172,17.78907585144043,9.551846504211426,7.5093865394592285,18.85939598083496,7.5093865394592285,51.65837860107422,5.424470901489258,17.806379318237305,7.5093865394592285,6.507688999176025,7.925512790679932,7.8019022941589355,13.897665977478027,T2F,51.65837860107422
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,6.221987724304199,44.01637268066406,103.90557861328125,3.7961370944976807,3.978550910949707,3.3318371772766113,15.76638412475586,5.693755626678467,19.89551544189453,4.331837177276611,5.616758346557617,7.6492462158203125,43.219478607177734,16.54947280883789,LBSP,103.90557861328125
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.cpp,3.172454357147217,32.11690139770508,7.2478532791137695,9.793649673461914,12.12182331085205,7.1675615310668945,49.501319885253906,5.348958969116211,12.865105628967285,7.1675615310668945,85.5008316040039,11.470797538757324,11.951689720153809,17.981353759765625,dp,85.5008316040039
bgslibrary\bgslibrary\FrameProcessor.h,71.3155517578125,209.24935913085938,33.9154167175293,100.43199920654297,17.703121185302734,120.86908721923828,65.21965026855469,123.49681091308594,64.0505599975586,118.51199340820312,39.86956787109375,1.4674296379089355,64.70928192138672,12.831701278686523,LBP_MRF,209.24935913085938
bgslibrary\wrapper\matlab\mxarray.h,20.959671020507812,12.523146629333496,12.370165824890137,0.0,5.753857612609863,0.757748007774353,6.383607387542725,3.36395525932312,18.87056541442871,0.757748007774353,8.689549446105957,2.108715534210205,7.820619106292725,9.715849876403809,IMBS,20.959671020507812
bgslibrary\bgslibrary\algorithms\FrameDifference.cpp,21.794084548950195,11.330025672912598,9.779046058654785,7.528418064117432,18.19999885559082,7.528418064117432,4.309750080108643,5.419320106506348,3.211033344268799,7.528418064117432,5.454634666442871,7.910101413726807,7.716346263885498,14.761428833007812,IMBS,21.794084548950195
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.cpp,1.1484980583190918,17.89153289794922,3.3899013996124268,1.1484980583190918,0.0,1.1484980583190918,0.0,4.150550842285156,16.095684051513672,1.1484980583190918,1.1484980583190918,3.4640564918518066,1.167060375213623,4.538399696350098,LBP_MRF,17.89153289794922
bgslibrary\gui\qt\qt_utils.cpp,0.39530715346336365,35.561973571777344,2.8584184646606445,4.537773132324219,2.385495662689209,0.39530715346336365,2.512925624847412,1.7286492586135864,29.111114501953125,0.39530715346336365,1.3189879655838013,4.046642780303955,3.4807169437408447,7.43301248550415,LBP_MRF,35.561973571777344
bgslibrary\bgslibrary\algorithms\VuMeter.h,20.495452880859375,8.0748872756958,6.2824530601501465,4.806675910949707,26.433422088623047,4.806675910949707,3.839503288269043,5.180446147918701,2.9748458862304688,142.85189819335938,4.982519149780273,7.286428451538086,7.1523613929748535,22.444263458251953,VuMeter,142.85189819335938
bgslibrary\wrapper\python\ndarray_converter.h,0.0,12.678319931030273,0.31358039379119873,0.0,0.0,0.0,1.9112658500671387,0.0,0.0,0.0,1.9471957683563232,0.32954055070877075,1.4331568479537964,6.791097164154053,LBP_MRF,12.678319931030273
bgslibrary\bgslibrary\algorithms\WeightedMovingMean.cpp,19.452564239501953,17.627607345581055,9.139352798461914,7.399294853210449,15.266486167907715,7.399294853210449,51.351619720458984,5.3422675132751465,17.53842544555664,7.399294853210449,5.384622573852539,7.760171413421631,7.619875431060791,13.669629096984863,T2F,51.351619720458984
