file_path,datasets,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\robots\unitree_g1\run_g1_server.py,15.982566833496094,8.335862159729004,6.6732869148254395,78.87200927734375,12.11978530883789,robot_devices,78.87200927734375
lerobot\tests\annotations\test_frames.py,106.41402435302734,9.258101463317871,4.954007148742676,47.34838104248047,21.796674728393555,datasets,106.41402435302734
lerobot\examples\dataset\load_lerobot_dataset.py,111.68644714355469,7.47564697265625,1.7436485290527344,47.24226379394531,10.590667724609375,datasets,111.68644714355469
lerobot\src\lerobot\teleoperators\phone\phone_processor.py,7.400319576263428,2.4267778396606445,8.676541328430176,42.15823745727539,5.580965995788574,robot_devices,42.15823745727539
lerobot\src\lerobot\rollout\strategies\__init__.py,1.8884105682373047,0.19348439574241638,1.0,0.012767935171723366,2.081894874572754,utilities,2.081894874572754
lerobot\src\lerobot\policies\tdmpc\modeling_tdmpc.py,17.30938720703125,7.133578777313232,63.61894607543945,72.1501693725586,16.036579132080078,robot_devices,72.1501693725586
lerobot\src\lerobot\scripts\lerobot_replay.py,44.60023498535156,4.558567047119141,3.9067747592926025,42.49928283691406,9.564900398254395,datasets,44.60023498535156
lerobot\src\lerobot\policies\xvla\processor_xvla.py,41.71057891845703,5.644824028015137,79.8750991821289,72.23163604736328,10.99517822265625,policies,79.8750991821289
lerobot\src\lerobot\robots\unitree_g1\holosoma_locomotion.py,16.937711715698242,5.752747058868408,31.409103393554688,49.136051177978516,19.282791137695312,robot_devices,49.136051177978516
lerobot\src\lerobot\teleoperators\config.py,4.186197757720947,0.0,0.341831773519516,6.555245876312256,2.69242525100708,robot_devices,6.555245876312256
lerobot\src\lerobot\data_processing\sarm_annotations\__init__.py,5.402044296264648,0.0,0.0,0.012864486314356327,0.0,datasets,5.402044296264648
lerobot\src\lerobot\transport\services_pb2.py,4.590444087982178,1.2208592891693115,9.074398040771484,25.337562561035156,7.459225177764893,robot_devices,25.337562561035156
lerobot\src\lerobot\teleoperators\phone\config_phone.py,3.0,0.0,0.0,1.0576293468475342,1.865787386894226,datasets,3.0
lerobot\src\lerobot\robots\rebot_b601_follower\__init__.py,0.0,0.7359808683395386,0.0,40.545406341552734,0.0,robot_devices,40.545406341552734
lerobot\src\lerobot\teleoperators\koch_leader\koch_leader.py,11.844189643859863,8.008048057556152,10.494369506835938,21.199993133544922,20.837095260620117,robot_devices,21.199993133544922
lerobot\tests\rl\test_trainer.py,97.93321228027344,4.453367233276367,1.0,32.00062561035156,8.839957237243652,datasets,97.93321228027344
lerobot\src\lerobot\cameras\zmq\image_server.py,10.795427322387695,7.54176139831543,5.816949367523193,32.31764602661133,11.343128204345703,robot_devices,32.31764602661133
lerobot\src\lerobot\robots\rebot_b601_follower\config_rebot_b601_follower.py,6.346182823181152,5.036725044250488,5.644349098205566,51.186885833740234,8.219583511352539,robot_devices,51.186885833740234
lerobot\src\lerobot\teleoperators\openarm_leader\openarm_leader.py,22.08837890625,9.122224807739258,10.967096328735352,69.59654235839844,21.460411071777344,robot_devices,69.59654235839844
lerobot\src\lerobot\policies\pi0\processor_pi0.py,42.37376022338867,4.78872013092041,92.88470458984375,30.492704391479492,5.576318740844727,policies,92.88470458984375
lerobot\src\lerobot\datasets\compute_stats.py,94.99708557128906,6.957047462463379,10.400521278381348,0.9288687109947205,10.243420600891113,datasets,94.99708557128906
lerobot\src\lerobot\datasets\feature_utils.py,121.38258361816406,8.960044860839844,9.911783218383789,44.49449157714844,25.559921264648438,datasets,121.38258361816406
lerobot\src\lerobot\robots\earthrover_mini_plus\robot_earthrover_mini_plus.py,17.740707397460938,6.595008850097656,6.8013129234313965,54.19735336303711,7.955528259277344,robot_devices,54.19735336303711
lerobot\examples\phone_to_so100\teleoperate.py,10.444158554077148,5.724836349487305,3.4313924312591553,78.26331329345703,8.625136375427246,robot_devices,78.26331329345703
lerobot\src\lerobot\teleoperators\gamepad\teleop_gamepad.py,3.318546772003174,1.1192618608474731,1.2532191276550293,43.8051872253418,1.8980529308319092,robot_devices,43.8051872253418
lerobot\src\lerobot\policies\wall_x\constant.py,2.6790003776550293,1.6298367977142334,79.56778717041016,1.026784062385559,6.86589241027832,policies,79.56778717041016
lerobot\src\lerobot\utils\errors.py,0.0,0.0,0.0,30.812469482421875,0.0,robot_devices,30.812469482421875
lerobot\src\lerobot\policies\molmoact2\molmoact2_hf_model\__init__.py,0.0,0.0,78.1227798461914,0.012870569713413715,2.0352253913879395,policies,78.1227798461914
lerobot\src\lerobot\rewards\classifier\__init__.py,0.4133544862270355,0.29385069012641907,0.0,0.012858409434556961,0.29385069012641907,datasets,0.4133544862270355
lerobot\src\lerobot\policies\vqbet\configuration_vqbet.py,19.16141700744629,8.978053092956543,75.41067504882812,7.0213942527771,18.379318237304688,policies,75.41067504882812
lerobot\src\lerobot\annotations\steerable_pipeline\frames.py,30.257665634155273,10.531769752502441,7.596536636352539,9.414138793945312,26.410173416137695,datasets,30.257665634155273
lerobot\src\lerobot\policies\groot\configuration_groot.py,38.85577392578125,10.53316593170166,81.97647857666016,2.106599807739258,16.742645263671875,policies,81.97647857666016
lerobot\src\lerobot\configs\types.py,4.38310432434082,1.9778846502304077,10.0,0.012567499652504921,3.8425467014312744,policies,10.0
lerobot\src\lerobot\rewards\topreward\processor_topreward.py,37.63957214355469,6.788774013519287,23.72848892211914,24.357694625854492,11.629069328308105,datasets,37.63957214355469
lerobot\src\lerobot\utils\visualization_utils.py,7.825540542602539,0.0,6.467959403991699,42.549251556396484,5.284827709197998,robot_devices,42.549251556396484
lerobot\src\lerobot\utils\collate.py,3.033656120300293,0.0,0.36121389269828796,0.6340677738189697,3.150315046310425,utilities,3.150315046310425
