file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
audioflux\src\dsp\filterDesign_fir.c,72.16035461425781,226.07432556152344,8.510254859924316,60.904056549072266,filter_bank,226.07432556152344
audioflux\src\filterbank\chroma_filterBank.c,12.404353141784668,83.00371551513672,5.837321758270264,44.373958587646484,filter_bank,83.00371551513672
audioflux\src\fst_algorithm.c,22.750839233398438,3.7881548404693604,7.100502967834473,14.758679389953613,dsp,22.750839233398438
audioflux\include\dwt_algorithm.h,21.493938446044922,2.1700518131256104,2.860741138458252,1.3951948881149292,dsp,21.493938446044922
audioflux\include\cwt_algorithm.h,4.590088367462158,4.138486385345459,4.539910316467285,1.0883082151412964,dsp,4.590088367462158
audioflux\src\util\flux_util.h,18.927940368652344,26.382020950317383,5.49198055267334,46.621337890625,mir,46.621337890625
audioflux\src\synsq_algorithm.c,4.337125778198242,5.9893012046813965,6.4305291175842285,31.46329116821289,mir,31.46329116821289
audioflux\src\dsp\filterDesign_iir.h,83.95295715332031,36.0,2.332026481628418,29.87198257446289,dsp,83.95295715332031
audioflux\src\filterbank\nsgt_filterBank.c,23.56309700012207,171.4574737548828,6.360833644866943,47.048301696777344,filter_bank,171.4574737548828
audioflux\src\filterbank\cwt_filterBank.c,40.191131591796875,131.8681640625,6.645858287811279,13.87887191772461,filter_bank,131.8681640625
audioflux\src\feature\spectral_algorithm.h,8.575393676757812,11.170982360839844,10.771034240722656,48.041595458984375,mir,48.041595458984375
audioflux\src\mir\_pitch_yin.h,0.18042826652526855,0.18042826652526855,0.18042826652526855,93.74012756347656,mir,93.74012756347656
audioflux\src\dsp\resample_algorithm.c,61.6033935546875,33.57563018798828,3.959035634994507,22.48917579650879,dsp,61.6033935546875
audioflux\src\filterbank\coef\__coef_r.h,40.18458938598633,45.79047775268555,3.11418080329895,48.68002700805664,mir,48.68002700805664
audioflux\src\filterbank\nsgt_filterBank.h,3.2690820693969727,102.29953002929688,4.269082069396973,4.910316467285156,filter_bank,102.29953002929688
audioflux\src\filterbank\auditory_filterBank.h,3.1931753158569336,144.1213836669922,6.51303768157959,27.1997013092041,filter_bank,144.1213836669922
audioflux\include\dsp\czt_algorithm.h,86.20811462402344,1.9293792247772217,4.644041061401367,3.17794132232666,dsp,86.20811462402344
