file_path,app,backends,bin,concurrency,contrib,events,fixups,security,utils,worker,best_module,best_likelihood
celery\t\unit\utils\test_annotations.py,20.848968505859375,8.783777236938477,10.473336219787598,11.502004623413086,20.50145721435547,1.8057551383972168,4.891202926635742,8.097550392150879,81.1910400390625,6.825082302093506,utils,81.1910400390625
celery\celery\app\amqp.py,84.95255279541016,25.307464599609375,103.5781021118164,15.906904220581055,11.988913536071777,123.30662536621094,2.343189239501953,10.999643325805664,17.305313110351562,11.560663223266602,events,123.30662536621094
celery\examples\quorum-queues\myapp.py,85.79902648925781,15.576810836791992,36.84172058105469,93.4615707397461,55.11870574951172,8.377250671386719,2.2390570640563965,5.801678657531738,10.560908317565918,107.40825653076172,worker,107.40825653076172
celery\celery\loaders\base.py,88.75777435302734,105.52171325683594,46.90740203857422,20.651317596435547,16.95277976989746,7.135865688323975,9.055730819702148,9.387941360473633,29.525842666625977,94.17019653320312,backends,105.52171325683594
celery\t\unit\contrib\test_worker.py,90.23110961914062,55.27300262451172,25.58754539489746,27.88677978515625,129.6972198486328,47.387535095214844,5.0048956871032715,8.944947242736816,22.116727828979492,106.2454833984375,contrib,129.6972198486328
celery\t\unit\app\test_amqp.py,98.16624450683594,15.863338470458984,89.15360260009766,16.7567138671875,18.074480056762695,68.73530578613281,3.229696035385132,17.140737533569336,14.173420906066895,81.74496459960938,app,98.16624450683594
celery\celery\bin\graph.py,80.75646209716797,60.21208572387695,119.2711181640625,95.54337310791016,39.87458801269531,10.623767852783203,2.7817461490631104,3.687481641769409,47.088279724121094,140.71701049804688,worker,140.71701049804688
celery\celery\worker\__init__.py,2.1751673221588135,0.1730874627828598,7.3705220222473145,0.0,1.6904367208480835,2.7755038738250732,1.001039981842041,1.001039981842041,2.948591470718384,68.603759765625,worker,68.603759765625
celery\t\unit\utils\test_sysinfo.py,12.017834663391113,10.546367645263672,8.228588104248047,10.358475685119629,10.58968734741211,6.06519889831543,3.3119473457336426,4.6565937995910645,89.977783203125,13.356009483337402,utils,89.977783203125
celery\t\unit\events\test_snapshot.py,64.77285766601562,1.6798256635665894,31.359281539916992,2.1807103157043457,8.099653244018555,118.54391479492188,1.000884771347046,1.7469075918197632,13.13399600982666,4.872970104217529,events,118.54391479492188
celery\t\unit\worker\__init__.py,2.1749229431152344,0.1730874627828598,7.370155334472656,0.0,1.6903144121170044,2.775381565093994,1.000917673110962,1.000917673110962,2.9484691619873047,68.6036376953125,worker,68.6036376953125
celery\t\unit\contrib\test_migrate.py,102.18922424316406,13.175692558288574,85.16582489013672,9.859684944152832,120.95289611816406,18.19451904296875,6.374582290649414,19.848520278930664,12.594579696655273,18.52511978149414,contrib,120.95289611816406
celery\examples\pydantic\__init__.py,2.1751198768615723,0.1732824742794037,3.1760387420654297,0.0,1.174201250076294,1.0009187459945679,1.0009187459945679,1.0009187459945679,1.174201250076294,1.174201250076294,bin,3.1760387420654297
celery\t\unit\utils\test_pickle.py,9.665705680847168,3.377521514892578,5.8783416748046875,5.364287376403809,5.851470947265625,4.865594863891602,1.866201639175415,7.142215728759766,84.49069213867188,5.4210991859436035,utils,84.49069213867188
